Replicate,Plate,Group,Sample,Count,median,peak,sd,cv,rCV
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,A7,9260,8242,8997,4453.51,48.76,47.33
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,A8,10233,5991,8259,3229.19,48.94,46.97
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,B5,9428,24444,25643,10181.28,39.24,38.43
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,B6,13372,15733,15102,6840.55,40.53,40.33
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,B7,9576,9221,9153,4854.49,47.75,45.69
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,B8,12269,5476,6605,2936.47,48.74,45.16
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,C5,10546,26541,28101,10916.32,38.74,38.17
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,C6,12660,20351,21356,9550.57,43.53,43.09
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,C7,9490,8457,9483,4597.87,49.16,46.46
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,C8,8600,6801,8383,4318.21,56.2,51.15
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,D5,12221,25045,22342,11004.72,40.84,40.92
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,D7,10973,7980,8528,4201.9,47.59,45.46
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,E5,11142,28039,28122,11699.27,39.57,40.78
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,E7,9505,8709,8256,4717.73,49.04,47.5
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,F5,11263,20553,23410,8144.52,38.15,38.34
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,F7,9505,6969,7363,3915.07,50.67,48.68
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,G5,10659,20685,23899,8059.44,37.51,38.24
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,G7,9331,6581,6909,3617.41,49.72,46.97
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,H5,11100,19316,21368,7920.62,38.94,41.01
Rep1-0Pi-Ctrl,d060521-120min-0Pi-M24KO,120min,H7,9194,6841,7132,3781.27,49.84,47.12
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,A5,11761,22899,25051,9701.42,39.71,37.01
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,A6,12279,15170,16796,6622.34,41.38,39.44
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,A7,11277,83938,85537,38723.2,44.36,39.68
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,A8,12059,66791,97365,50807.94,80.81,101.13
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,B5,11328,22451,23387,8996.29,37.81,35.86
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,B6,12923,16992,19544,7202.67,40.25,41.05
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,B7,10656,71012,66296,28176.35,37.39,36.38
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,B8,11558,79437,85491,48242.78,61.79,57.65
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,C5,11694,26515,26841,11100.6,39.53,39.25
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,C6,12127,22096,23910,9410.07,40.55,40.84
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,C7,10826,89653,89983,45141.65,48.73,42.46
Rep2-0Pi-Rep1-H2O2,d060621-120min-0Pi-M24KO,120min,C8,10710,93169,107887,62962.01,71.17,73.52
